wl,n
11.919330,0.002047
11.933050,0.004135
11.946790,0.005563
11.974380,0.004669
11.988220,0.007068
12.016010,0.008026
12.029940,0.009042
12.057930,0.008401
12.071960,0.005302
12.086040,0.007316
12.114270,0.007114
12.128450,0.005753
12.156870,0.003158
12.171150,0.002344
12.199780,0.007740
12.214160,0.007544
12.228560,0.002958
12.257470,0.000000
